"","diags","Freq"
"536","5968",1
"537","5982",1
"538","5988",1
"539","5989",2
"540","5990",16
"541","5996",1
"542","5997",1
"543","600",6
"544","6000",5
"545","60000",7
"546","60785",1
"547","6118",1
"548","63592",1
"549","6820",7
"550","6869",1
"551","69271",1
"552","69274",2
"553","6929",1
"554","6953",1
"555","6954",1
"556","6961",5
"557","701",2
"558","7011",1
"559","7020",1
"560","70219",1
"561","70409",1
"562","7048",1
"563","7054",2
"564","7062",2
"565","7070",4
"566","70700",1
"567","70703",2
"568","7098",1
"569","7102",1
"570","7140",8
"571","71589",2
"572","71590",16
"573","71591",1
"574","71594",2
"575","71659",1
"576","71690",12
"577","71691",1
"578","71694",1
"579","71696",1
"580","71699",1
"581","71897",1
"582","71906",1
"583","71945",1
"584","7200",1
"585","7210",3
"586","72190",1
"587","7235",1
"588","7242",1
"589","7243",1
"590","7245",1
"591","7248",1
"592","72610",1
"593","7289",1
"594","7291",3
"595","72989",2
"596","73008",1
"597","73018",3
"598","73300",9
"599","7331",1
"600","73319",2
"601","73329",1
"602","73349",1
"603","73390",2
"604","73730",1
"605","7380",4
"606","73819",5
"607","7384",1
"608","7420",1
"609","74769",1
"610","7481",1
"611","7531",1
"612","75312",1
"613","75619",1
"614","7800",1
"615","78002",1
"616","78009",2
"617","7801",1
"618","7802",1
"619","7803",4
"620","78039",7
"621","78052",2
"622","78057",17
"623","7806",8
"624","7807",1
"625","78079",1
"626","7809",1
"627","78097",1
"628","78099",2
"629","7810",2
"630","7811",1
"631","7812",3
"632","7813",1
"633","7819",1
"634","7821",1
"635","7823",6
"636","7827",1
"637","7840",14
"638","7842",3
"639","78449",1
"640","7845",3
"641","7847",27
"642","7850",5
"643","7852",4
"644","78551",1
"645","7856",2
"646","78609",4
"647","78650",2
"648","78651",1
"649","78652",1
"650","7870",1
"651","78701",7
"652","78702",6
"653","78703",2
"654","7872",10
"655","78720",4
"656","78722",1
"657","78791",2
"658","7882",3
"659","78820",8
"660","78829",1
"661","78839",1
"662","7885",1
"663","78869",1
"664","79001",1
"665","7902",2
"666","79029",10
"667","7905",1
"668","7906",8
"669","7907",1
"670","79091",1
"671","7921",1
"672","79431",5
"673","7955",1
"674","7962",1
"675","7963",1
"676","7990",2
"677","79902",1
"678","7991",1
"679","7993",1
"680","8028",1
"681","845",4
"682","849",1
"683","85180",2
"684","8710",1
"685","87363",2
"686","9092",1
"687","9181",2
"688","9330",1
"689","9331",1
"690","9348",1
"691","94522",1
"692","94800",1
"693","95909",1
"694","9952",1
"695","9954",1
"696","9962",2
"697","99652",3
"698","99659",2
"699","99663",1
"700","99669",2
"701","99674",1
"702","99675",1
"703","99679",7
"704","9970",8
"705","99701",5
"706","99702",8
"707","99709",33
"708","9971",23
"709","9972",3
"710","9973",18
"711","9974",5
"712","9975",7
"713","99779",1
"714","9979",1
"715","99791",3
"716","99799",2
"717","9981",17
"718","99811",12
"719","99812",13
"720","99813",4
"721","9982",23
"722","9983",6
"723","99830",1
"724","99831",2
"725","99832",1
"726","9985",3
"727","99859",8
"728","9986",1
"729","9988",3
"730","99881",1
"731","99883",1
"732","99889",8
"733","9989",2
"734","9999",1
"735","E8497",5
"736","E8499",1
"737","E8700",3
"738","E8708",1
"739","E8782",4
"740","E8784",1
"741","E8786",8
"742","E8788",27
"743","E8798",2
"744","E915 ",2
"745","E9248",1
"746","E9308",1
"747","E9320",7
"748","E9330",2
"749","E9363",1
"750","V0382",2
"751","V078 ",3
"752","V08  ",2
"753","V1001",4
"754","V1002",4
"755","V1005",12
"756","V1011",2
"757","V1021",4
"758","V1022",17
"759","V103 ",16
"760","V1041",4
"761","V1042",1
"762","V1043",2
"763","V1044",2
"764","V1046",12
"765","V1047",1
"766","V1051",3
"767","V1072",1
"768","V1079",3
"769","V1082",9
"770","V1083",13
"771","V1084",5
"772","V1089",2
"773","V113 ",1
"774","V1202",2
"775","V1209",1
"776","V124 ",1
"777","V1242",1
"778","V1249",1
"779","V1251",9
"780","V1254",1
"781","V1259",12
"782","V127 ",2
"783","V1271",2
"784","V1272",1
"785","V1301",3
"786","V1302",1
"787","V140 ",8
"788","V141 ",1
"789","V142 ",6
"790","V145 ",4
"791","V148 ",6
"792","V1501",1
