"","diags","Freq"
"632","45340",1
"633","45341",1
"634","4538",7
"635","4549",1
"636","4550",1
"637","4556",2
"638","4558",1
"639","4580",3
"640","4582",5
"641","45829",5
"642","4589",9
"643","4590",1
"644","4592",2
"645","45981",6
"646","45989",2
"647","4610",15
"648","4611",6
"649","4612",4
"650","4618",2
"651","4619",6
"652","462",2
"653","4640",1
"654","4659",3
"655","470",41
"656","4710",11
"657","4711",2
"658","4718",23
"659","4719",14
"660","4720",5
"661","4721",1
"662","4730",77
"663","4731",17
"664","4732",54
"665","4733",14
"666","4738",48
"667","4739",64
"668","47410",1
"669","4748",2
"670","4778",1
"671","4779",6
"672","4780",7
"673","4781",39
"674","47819",12
"675","47821",1
"676","47826",1
"677","47829",1
"678","47830",1
"679","47834",1
"680","4786",1
"681","4789",1
"682","479",1
"683","4820",2
"684","4821",5
"685","4824",1
"686","48289",1
"687","486",21
"688","490",3
"689","4912",2
"690","49120",6
"691","49121",6
"692","4918",2
"693","4919",3
"694","4920",1
"695","4928",31
"696","49300",1
"697","49320",20
"698","49321",1
"699","49322",1
"700","49390",56
"701","49391",1
"702","494",1
"703","496",183
"704","500",1
"705","501",1
"706","5070",20
"707","5081",1
"708","5110",1
"709","5118",1
"710","5119",13
"711","5121",3
"712","5128",1
"713","515",7
"714","5180",49
"715","5181",2
"716","5183",3
"717","5185",28
"718","51881",22
"719","51882",3
"720","51884",1
"721","51889",12
"722","5198",2
"723","5206",3
"724","5210",7
"725","52100",6
"726","52109",3
"727","5224",3
"728","5227",1
"729","5231",1
"730","5233",2
"731","5234",2
"732","5235",1
"733","5238",2
"734","5239",3
"735","52401",1
"736","52430",1
"737","52510",2
"738","52540",1
"739","5258",2
"740","5260",2
"741","5264",3
"742","5265",1
"743","52681",1
"744","52689",2
"745","5272",3
"746","5277",1
"747","5278",1
"748","5280",5
"749","52800",2
"750","5283",2
"751","5285",2
"752","5286",1
"753","5289",4
"754","5301",1
"755","53010",1
"756","53011",4
"757","5302",1
"758","5303",1
"759","5306",1
"760","53081",99
"761","53085",2
"762","53190",1
"763","5320",1
"764","53290",2
"765","53370",1
"766","53390",9
"767","5350",1
"768","53500",1
"769","53510",1
"770","53540",1
"771","53550",5
"772","53560",1
"773","53642",2
"774","53649",1
"775","5368",2
"776","5369",2
"777","539",2
"778","55090",2
"779","5531",2
"780","55320",1
"781","5533",18
"782","5559",1
"783","5569",1
"784","5570",1
"785","5571",1
"786","5589",8
"787","5601",5
"788","56039",2
"789","56210",8
"790","5640",3
"791","56400",15
"792","56409",1
"793","5641",3
"794","5642",1
"795","5644",1
"796","5672",1
"797","56729",1
"798","56889",1
"799","5712",2
"800","5713",1
"801","57142",1
"802","5715",2
"803","5718",2
"804","5722",1
"805","5739",2
"806","57410",2
"807","57411",1
"808","57420",3
"809","5758",1
"810","5759",1
"811","5770",2
"812","5771",2
"813","5778",1
"814","5780",2
"815","5781",4
"816","5789",2
"817","5790",1
"818","5793",1
"819","5809",1
"820","5829",1
"821","5831",1
"822","58381",2
"823","5839",1
"824","5845",4
"825","5848",1
"826","5849",15
"827","585",3
"828","5855",1
"829","5856",3
"830","5859",12
"831","586",1
"832","5888",1
"833","591",3
"834","5933",2
"835","5934",1
"836","59389",1
"837","5939",20
"838","5960",5
"839","5964",2
"840","59659",1
"841","5989",7
"842","5990",55
"843","5996",1
"844","5997",14
"845","59970",1
"846","600",19
"847","6000",2
"848","60000",19
"849","60001",5
"850","6009",1
"851","60091",1
"852","6011",2
"853","605",1
"854","6111",1
"855","61172",2
"856","61610",1
"857","6231",1
"858","632",1
"859","64890",1
"860","6800",1
"861","6804",1
"862","6820",26
"863","6822",1
"864","6823",2
"865","6824",2
"866","6826",2
"867","6827",1
"868","6828",1
"869","6869",1
"870","6910",1
"871","69274",1
"872","69289",1
"873","6929",3
"874","6930",2
"875","6945",2
"876","69589",1
"877","6961",3
"878","6983",1
"879","6989",3
"880","7011",2
"881","7015",1
"882","702",1
"883","7020",3
"884","70219",3
"885","7048",1
"886","7054",1
"887","7062",3
"888","7070",8
"889","70703",1
"890","7071",3
"891","70714",1
"892","7078",1
"893","7080",1
"894","7089",1
"895","7092",2
"896","7093",1
"897","7098",3
"898","7099",2
"899","7100",2
"900","7101",1
"901","7140",12
"902","71481",1
"903","71509",1
"904","71531",2
"905","71536",1
"906","71589",3
"907","71590",40
"908","71595",1
"909","71596",2
"910","71598",1
"911","71650",1
"912","71659",1
"913","71690",19
"914","71694",1
"915","71695",1
"916","71696",2
"917","71698",2
"918","71699",2
"919","71946",1
"920","7200",2
"921","7210",3
"922","7212",1
"923","7213",1
"924","72190",2
"925","7231",1
"926","72400",2
"927","72402",3
"928","7242",7
"929","7244",1
"930","7245",1
"931","725",2
"932","72691",2
"933","72709",1
"934","7283",1
"935","72888",2
"936","7290",1
"937","7292",1
"938","72982",1
"939","72989",1
"940","73008",2
"941","73018",1
"942","73028",5
"943","7310",2
"944","7313",1
"945","73300",26
"946","73309",1
"947","73319",1
"948","7333",1
"949","73340",1
"950","73349",1
"951","73399",4
"952","73710",1
"953","73730",1
"954","7380",7
"955","73819",2
"956","7391",1
"957","7421",1
"958","74259",1
"959","7455",1
"960","7462",1
"961","74781",1
"962","74900",1
"963","7514",1
"964","7560",1
"965","7564",2
"966","75982",1
"967","78001",2
"968","78009",6
"969","7801",2
"970","7802",6
"971","7803",12
"972","78039",29
"973","7804",7
"974","78052",3
"975","78053",1
"976","78057",12
"977","7806",19
"978","78060",1
"979","78079",3
"980","7809",1
"981","78093",1
"982","78097",2
"983","78099",1
"984","781",1
"985","7810",3
"986","7811",4
"987","7812",4
"988","7819",1
"989","78194",2
"990","78199",1
"991","7820",3
"992","7821",2
"993","7823",5
"994","7830",4
"995","78321",5
"996","7833",1
"997","78340",1
"998","7835",1
"999","7837",2
"1000","7840",24
"1001","7842",5
"1002","7843",3
"1003","7845",1
"1004","7847",90
"1005","7848",1
"1006","7850",7
"1007","7851",1
"1008","7852",4
"1009","78552",2
"1010","78559",1
"1011","7856",6
"1012","78603",2
"1013","78609",4
"1014","7861",1
"1015","7863",4
"1016","78650",6
"1017","78659",3
"1018","7866",5
"1019","7868",1
"1020","7870",1
"1021","78701",17
"1022","78702",12
"1023","7871",1
"1024","7872",26
"1025","78720",5
"1026","78721",2
"1027","78729",2
"1028","7873",1
"1029","7876",1
"1030","78791",7
"1031","7881",1
"1032","7882",11
"1033","78820",25
"1034","78821",1
"1035","78829",6
"1036","7883",1
"1037","78830",7
"1038","78831",1
"1039","78841",3
"1040","78842",1
"1041","7889",1
"1042","78900",3
"1043","7893",1
"1044","78937",1
"1045","7902",1
"1046","79029",9
"1047","7905",1
"1048","7906",5
"1049","7907",7
"1050","79092",3
"1051","7910",1
"1052","7920",2
"1053","79431",6
"1054","7948",2
"1055","7955",2
"1056","7962",4
"1057","7964",1
"1058","7990",3
"1059","79902",7
"1060","7991",3
"1061","7992",1
"1062","7993",4
"1063","7994",11
"1064","8020",1
"1065","80222",1
"1066","8024",1
"1067","8028",1
"1068","80709",1
"1069","82003",1
"1070","83500",1
"1071","845",8
"1072","8472",1
"1073","849",2
"1074","85180",1
"1075","86403",1
"1076","8670",4
"1077","8714",1
"1078","9050",1
"1079","9072",2
"1080","9092",3
"1081","9181",1
"1082","9212",1
"1083","92311",1
"1084","932",1
"1085","9341",1
"1086","9348",2
"1087","9349",1
"1088","9553",1
"1089","9580",1
"1090","990",1
"1091","9952",2
"1092","99591",3
"1093","99592",2
"1094","9964",2
"1095","99651",1
"1096","99652",5
"1097","99653",1
"1098","99659",1
"1099","99660",1
"1100","99662",5
"1101","99663",1
"1102","99664",2
"1103","99669",3
"1104","99672",2
"1105","99674",2
"1106","99676",1
"1107","99679",3
"1108","9970",16
"1109","99701",2
"1110","99702",8
"1111","99709",36
"1112","9971",38
"1113","9972",6
"1114","9973",40
"1115","99731",1
"1116","99739",1
"1117","9974",11
"1118","9975",20
"1119","99779",2
"1120","9979",5
"1121","99791",6
"1122","99799",3
"1123","9981",34
"1124","99811",34
"1125","99812",12
"1126","9982",30
"1127","9983",15
"1128","99831",2
"1129","99832",2
"1130","9984",1
"1131","9985",14
"1132","99859",6
"1133","9986",3
"1134","9988",17
"1135","99881",1
"1136","99883",1
"1137","99889",12
"1138","9992",5
"1139","99931",2
"1140","9998",2
"1141","E8199",1
"1142","E8490",1
"1143","E8497",5
"1144","E8700",1
"1145","E8769",1
"1146","E8784",1
"1147","E8788",34
"1148","E8792",1
"1149","E8796",1
"1150","E8798",3
"1151","E8799",1
"1152","E8889",1
"1153","E9288",1
"1154","E9300",1
"1155","E9301",1
"1156","E9305",2
"1157","E9308",1
"1158","E9309",1
"1159","E9331",4
"1160","E9342",2
"1161","E9352",4
"1162","E9358",1
"1163","E9363",1
"1164","E9382",1
"1165","E9384",1
"1166","E9444",4
"1167","E9453",1
"1168","E9478",1
"1169","E9479",1
"1170","V017 ",1
"1171","V0259",1
"1172","V0262",2
"1173","V0382",2
"1174","V048 ",1
"1175","V066 ",1
"1176","V078 ",1
"1177","V08  ",2
"1178","V090 ",5
"1179","V1001",2
"1180","V1002",18
"1181","V1003",1
"1182","V1005",22
"1183","V1006",1
"1184","V1011",5
"1185","V1012",1
"1186","V1021",11
"1187","V1022",33
"1188","V103 ",33
"1189","V1041",3
"1190","V1042",3
"1191","V1043",4
"1192","V1044",3
"1193","V1046",26
"1194","V1047",1
"1195","V1051",5
"1196","V1052",4
"1197","V1059",1
"1198","V1060",1
"1199","V1072",1
"1200","V1079",4
"1201","V1081",4
"1202","V1082",12
"1203","V1083",22
"1204","V1084",4
"1205","V1085",5
"1206","V1087",3
"1207","V1088",2
"1208","V1089",3
"1209","V113 ",7
"1210","V1201",3
"1211","V1202",1
"1212","V1209",1
"1213","V122 ",1
"1214","V125 ",4
"1215","V1251",9
"1216","V1252",1
"1217","V1254",2
"1218","V1259",34
"1219","V127 ",1
"1220","V1271",9
"1221","V1272",2
"1222","V1301",2
"1223","V140 ",6
"1224","V141 ",2
"1225","V142 ",4
"1226","V145 ",3
"1227","V146 ",4
"1228","V148 ",4
"1229","V1504",1
"1230","V1505",1
"1231","V1507",1
"1232","V1508",1
"1233","V1509",1
"1234","V151 ",1
"1235","V152 ",1
"1236","V153 ",41
"1237","V1559",1
"1238","V1581",4
"1239","V1582",124
"1240","V1584",1
"1241","V1589",2
"1242","V160 ",3
"1243","V161 ",2
"1244","V162 ",1
"1245","V1641",1
"1246","V1642",2
"1247","V1649",1
"1248","V167 ",1
"1249","V168 ",4
"1250","V169 ",1
"1251","V171 ",1
"1252","V173 ",1
"1253","V1749",1
"1254","V180 ",1
"1255","V198 ",1
"1256","V421 ",1
"1257","V422 ",1
"1258","V425 ",1
"1259","V430 ",2
